,brazilian,british,cajun_creole,chinese,filipino,french,greek,hawaiian,indian,irish,italian,jamaican,japanese,korean,mexican,moroccan,russian,southern_us,spanish,thai,vietnamese
abalone,-0.003220442289107073,-0.002994428742242181,-0.0018439435669988886,1.1601714611656242,-0.05266602316792319,-0.017217943885379446,-0.001569451875810057,-0.003433349998498459,-0.0006325157624969721,-0.006716180240814992,-0.012793044080514359,-0.0016286212132724661,-0.05833790804586012,-0.513501652337637,-0.003892783906426625,-0.005408681245203786,-0.0014510307572396374,-0.010516796458576134,-0.0012117257154137398,-0.004528889163256161,-0.028523970743653693
abbamele,-0.0017467679074920678,-0.0026343092546627462,-0.0010875981537653578,-0.10004599629772248,-8.810911792768004e-05,-0.2568441655888704,-0.028741669921089594,-0.0005251704118861581,-0.007364433461558033,-0.0044536664522122115,1.2096961927066467,-0.0001482461914438342,-0.003041836938575455,-0.0036422019314692714,-0.04095919237050256,-0.004791146660533793,-0.003853880533607231,-0.044729500101687775,-0.016406086511902968,-0.0015284497350324731,-0.0017039029854798433
absinthe,-0.03129490364419176,-0.044901131908951036,0.7154779987231397,-0.04084242509678214,-0.032428397575600294,-0.027332154559063397,-0.011753237353836998,-0.010375004594993537,-0.03175360604727253,-0.05697872221057587,-0.5908564914559732,-0.13286896600723447,-0.07055268159647786,-0.039594048997781794,-0.15512829482132687,-0.009894654843267988,-0.02176423277921373,-2.8598032838604026,-0.022029837120879477,-0.021722796154919708,-0.012710613667282098
abura,-0.022162048358949065,-0.03183306555046318,-0.01841339825568866,-0.07181655576686236,-0.041341900641243316,-0.07205691491342181,-0.04011751128289264,-0.0059691394680993935,-0.07034398311125004,-0.023276741400821123,-0.17807926422492532,-0.01302201930669421,1.2480744180108763,-0.07537173353192252,-0.19975089721130457,-0.019857187908806365,-0.022121773954272325,-0.0766454695829223,-0.04216359136794305,-0.019458244951298057,-0.026570582866547614
acai,4.642076660404707,-0.191718266035167,-0.04141584125478138,-0.04623780233362805,-0.725240377106013,-0.5935107564291396,-0.0676732308239099,-0.07724195032770398,-0.2240255194993198,-0.06646882862192235,-2.064152271684104,-0.14932053872365464,-0.4183597672856836,-0.031147624065533275,-2.3119637680991105,-0.03540076256179151,-0.033702752330714625,-1.2794473781225446,-0.2656481910829459,-0.5802481174060374,-0.03406194995201612
accent,-0.004581364361456154,-0.01353504427051368,-0.10739121292818594,-1.1914468835956078,4.4964737290593835,-0.04010762516668354,-0.027188075413170733,-0.26302165433988534,-0.01615422676124042,-0.020409228132796203,-0.10420286815535419,-0.061137785029770825,-0.4155356658781199,-0.12967876594318198,-0.11231603389014427,-0.01277175760001077,-0.022282867875577848,-0.16320276311878926,-0.007377217618716951,-0.18984301272546858,-0.09731361245361439
accompaniment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achiote,-0.1447053575964409,-0.03959458582932213,-0.036031453212914975,-0.5315615810278908,3.514229542053626,-0.1881463747731669,-0.3596071031774062,-0.06436607396471544,-0.11711944238581697,-0.029084850296344448,-0.7433594789292695,-0.3325521768108026,-0.14027358507714122,-0.30013393328671883,8.358621310352925,-0.08895817079453647,-0.025658306783013517,-0.5212548609312057,-0.1673014002044816,-0.22164618959293791,-0.08793621119799633
acid,-0.003676187483157064,-0.016245976032507995,-0.008575290085453215,1.429445913773086,-0.07378826635398762,-0.07258782464156524,-0.030267199509079495,-0.004996118367493049,-0.026277658919478572,-0.012959340128505222,2.2941079862662543,-0.012253972790308612,-0.5441865306112207,-0.08365918783379497,-0.48211410126655774,-0.01302989058978158,-0.015359429502741356,-0.11070145712232965,-0.01965940746160799,-0.046102280270927186,-0.024767076930328896
acini,-0.0058410921661547766,-0.0026291300415615545,-0.006120594492516389,-0.015404117291428546,-0.0018716079701440475,-0.09293451917005856,-0.1998768386597659,-0.0010803531763215375,-0.01218022490697001,-0.008564444354033139,3.3752986083640253,-0.0075137827706764524,-0.029320287006104194,-0.006793572949217913,-0.06340064745767907,-0.0018418105033920743,-0.002455790483683946,-0.02371887008696023,-0.012023350078664343,-0.005331430068151421,-0.001346706489860468
ackee,-0.2797562536259574,-0.019714163722720675,-0.42419626025254553,-0.17856112949019884,-0.14397317366719184,-0.5224192705731983,-0.08896228283853291,-0.009833041363981013,-0.04955132494977396,-0.07628954970142152,-2.1113702481832886,3.9610235052885963,-0.01755106431157705,-0.10327834662303105,-0.45209672531732914,-0.021395835705138283,-0.021413235521129417,-0.9901690088916519,-0.7387705067474145,-0.034257540355343105,-0.022344603692683068
acorn,-0.3730940370738896,-0.06659021198228766,-0.04132460507959988,-0.2916341315867095,2.472046075803387,-0.617977974993667,-0.07628409132085437,-0.037143495864039394,0.8188693217868348,-0.0588254416744216,1.4053655821242208,-0.18205796502520968,-0.5611752911399179,-0.1745594257856879,-1.6820869486838133,0.5943873420290839,-0.02732889200160821,1.7218631660280899,-0.17301844538124223,1.940122542518102,-0.1241640731097427
active,0.1190985612342873,-0.19647294805042423,2.0938496630549164,-0.33869234641921875,2.5102253084111417,0.13424813205354905,0.5037228048036674,-0.08078161959270981,0.5473440414226772,-1.238559488796644,1.1128074786954443,-3.639711559705957,-1.3340908707746886,-1.194769606295352,3.3142810187093485,-1.1246079567692913,1.073258707544884,2.992357910067512,0.35471452225486716,-0.5992854726816472,0.028489656896311524
added,-0.04534222823240587,-0.006900794396125448,0.1587921966065535,-0.21774220066543534,-0.04588924083142986,-0.34847911276714755,-0.22357140737706718,-0.012671085697084581,-0.6775150584098575,-0.026723379348049213,2.0801274220123704,-0.022557691605046885,-0.031158919534943715,-0.006437461338121504,1.9034206961731288,1.1386834679195004,-0.017900148053122844,-0.9286725014974441,-0.2837795871393288,-0.058166619147889335,-0.01477939925788996
adobo,0.812036195225412,-0.21003400078784185,-0.34207919541701526,-0.567800910660825,3.6807427297705493,-1.2660179113393968,-0.545949982325985,0.52951633462475,-0.48274704911170385,-0.2263112730989645,-1.9988473557732498,0.7485504548203881,-0.65704560295863,-0.3199962339261364,3.464798581604094,-0.805729112897193,-0.20565981268221767,0.6160094543819865,-0.7360366073976918,-1.1611159740746968,-0.3271785179697662
adzuki,-2.51767591380656,-0.0532560002515993,-0.050542842680429675,-0.26491552381140454,-0.34256135669516785,-1.3313875361464136,-0.1590243223183403,-0.05582933327649015,-0.4122118387437286,-0.019466866398728692,-0.701233292390385,4.924263558938045,3.2710172161929116,-0.03373035876059546,-1.018519503968503,-0.02267189330965868,-0.029073854557398658,-0.9438745121246078,-0.16845103173023274,-0.5293410540501426,0.7070655626942586
agar,-0.28117162985157523,-0.13081674623464798,-0.051089297192522344,1.2798378604192304,-0.4220385448554895,-0.7377922918424173,-0.09593354626326446,-0.023194060444990717,-0.07548462293866331,-0.05279306298759718,-0.5903933150927725,-0.13726568433387865,-0.34089694910945956,-0.10606539142767483,-0.1707746584943356,-0.05782357573406404,0.7361820480238844,1.6404223881312952,-0.09332012085485714,1.5313472218198583,-0.07385412298951617
agave,1.7526176308478991,-0.23021147602728037,-0.17203542993037085,-1.7559409812216868,-1.644920068964402,-0.6076326601412422,-0.4402981987006577,-0.16173644639853152,-0.3179424964977756,-0.20422094078893954,0.3677126286871736,-0.3040848650353559,0.22036678809347737,1.603523805646921,2.9515777747661716,-0.23134162137484166,0.39725773412913046,4.881343263434239,-1.0020631558146067,0.9151738637924511,0.8608780295358166
age,-0.022162048358949065,-0.03183306555046318,-0.01841339825568866,-0.07181655576686236,-0.041341900641243316,-0.07205691491342181,-0.04011751128289264,-0.0059691394680993935,-0.07034398311125004,-0.023276741400821123,-0.17807926422492532,-0.01302201930669421,1.2480744180108763,-0.07537173353192252,-0.19975089721130457,-0.019857187908806365,-0.022121773954272325,-0.0766454695829223,-0.04216359136794305,-0.019458244951298057,-0.026570582866547614
aged,-0.05116748515584682,-0.06163356726917066,-0.02215003555903324,-0.10798935449283315,-0.028651677122694893,-1.0614778747072502,-0.20319273074772387,-0.010421421212314068,-0.1712108482647171,-0.04177064145269473,-3.7831070255976376,-0.01164963673851829,-0.40325003330984954,-0.01763924484549522,2.38680348722248,-0.038356745422471125,-0.028481653869619948,3.1452505679811997,2.1338366403096303,-0.02910207066331513,-0.040384672737648696
